亅丁	一 
乙丂	一 
乚七	丿 
一丄	丨 
丨丅	一 
刀万	一 
乂丈	一 
一三	一 一 
一上	丶 丨 
丶下	一 丨 
丨丌	一 丿 
丶不	一 丿 丨 
丿丐	正 
一丑	㇆ 一 丨 
一丒	刃 
一且	月 
一丕	不 
一世	廿 丨 
凵丗	十 
一丘	厂 丅 
冂丙	一 人 
一丞	氶 
去丢	丿 
一丠	北 
冂両	一 山 
开并	丷 
丨丫	丶 丶 
丨丬	冫 
丨中	口 
丨丮	乁 二 
彡丯	丨 
丨丰	三 
口串	中 
丿丳	串 
干丵	业 丷 
丿丷	丶 
九丸	丶 
一丹	冂 丶 
王主	丶 
丶丼	井 
丿乂	乀 
㇆乃	丿 ㇆ 
入久	丿 
人乆	𠃊 
七乇	丿 
厶幺	𠃊 
二乍	丿 丅 
亅乎	丿 丷 一 
之乏	丿 
乀乑	丿 丨 丿 丿 丶 
丿乒	丘 
丶乓	丘 
巾乕	厂 二 
北乖	千 
北乘	禾 
匕乘	禾 丬 
乚乜	卩 
乙九	丿 
乙乞	丿 一 
乚也	卩 丨 
乚乢	山 
乚乣	幺 
乚乨	台 
乙乩	占 
田乪	乙 
乙乫	加 
乙乭	石 
乙乳	孚 
乙乴	折 
乚乵	辛 
乙乶	甫 
乙乷	沙 
母乸	也 
乚乹	十 日 十 
十干	一 
乚乿	爫 糸 
曰亀	龟 
乞亁	十 日 干 
乚乱	舌 
乚亃	粦 
乚亄	壹 
亅了	乛 
亅予	龴 乛 
肀亊	一 丷 亅 
肀事	一 口 
一二	一 
丁亍	一 
亅于	二 
丂亐	一 
厶云	二 
彑互	一 
丌亓	一 
㇆五	二 丨 
丨井	二 丿 
二亖	二 
二亗	山 
日亘	二 
二些	此 
业亚	一 
二亝	厽 
业亚	一 
一亟	丂 口 又 
一亠	丶 
匸亡	丶 
几亢	亠 
丌亣	丶 
父交	亠 
八亦	亠 丿 亅 
了亨	亠 口 
子享	亠 口 
小京	亠 口 
丁亭	亠 口 冖 
儿亮	亠 口 冖 
日亯	亠 口 
小亰	亠 日 
但亱	亠 
乇亳	亠 口 冂 
九亴	亠 口 冂 土 
旦亶	亠 回 
丿亷	亠 兼 
舋亹	亠 
乀人	丿 
丨亻	丿 
一亼	人 
人亾	丨 一 
十什	亻 
二仁	亻 
力仂	亻 
丁仃	亻 
人仄	厂 
卜仆	亻 
九仇	亻 
八仈	亻 
几仉	亻 
乛今	人 丶 
丨介	人 丿 
人仌	人 
乃仍	亻 
厶仏	亻 
十仐	人 
冫仒	人 
子仔	亻 
士仕	亻 
也他	亻 
丈仗	亻 
寸付	亻 
山仙	亻 
山仚	人 
乇仛	亻 
工仜	亻 
口同	冂 一 
刃仞	亻 
千仟	亻 
干仠	亻 
乞仡	亻 
勺仢	亻 
弋代	亻 
卩令	人 一 
小仦	亻 
人仧	上 
三仨	亻 
么仫	亻 
刄仭	亻 
反仮	亻 
少仯	亻 
卬仰	亻 
今仱	亻 
中仲	亻 
比仳	亻 
月仴	亻 
午仵	亻 
牛件	亻 
夭仸	亻 
丰仹	亻 
一仺	人 匚 
壬任	亻 
王仼	亻 
分份	亻 
互仾	亻 
方仿	亻 
公伀	亻 
止企	人 
巿伂	亻 
予伃	亻 
弔伄	亻 
屯伅	亻 
勿伆	亻 
殳伇	亻 
心伈	亻 
亢伉	亻 
尹伊	亻 
及伋	亻 
厄伌	亻 
五伍	亻 
支伎	亻 
犬伏	亻 
戈伐	亻 
木休	亻 
斤伒	亻 
不伓	亻 
冗伔	亻 
夫伕	亻 
友伖	亻 
火伙	亻 
卆伜	亻 
牙伢	亻 
匀伨	人 
文伩	亻 
玄伭	亻 
奴伮	亻 
白伯	亻 
古估	亻 
尒伱	亻 
尼伲	亻 
世伳	亻 
半伴	人 
四伵	亻 
令伶	亻 
由伷	亻 
申伸	亻 
且伹	亻 
司伺	亻 
平伻	亻 
