丁	一 亅
丂	一 乙
七	丿 乚
丄	丨 一
丅	一 丨
万	一 刀
丈	一 乂
三	一 一 一
上	丶 丨 一
下	一 丨 丶
丌	一 丿 丨
不	一 丿 丨 丶
丐	正 丿
丑	㇆ 一 丨 一
丒	刃 一
且	月 一
丕	不 一
世	廿 丨 一
丗	十 凵
丘	厂 丅 一
丙	一 人 冂
丞	氶 一
丢	丿 去
丠	北 一
両	一 山 冂
并	丷 开
丫	丶 丶 丨
丬	冫 丨
中	口 丨
丮	乁 二 丨
丯	丨 彡
丰	三 丨
串	中 口
丳	串 丿
丵	业 丷 干
丷	丶 丿
丸	丶 九
丹	冂 丶 一
主	丶 王
丼	井 丶
乂	乀 丿
乃	丿 ㇆ ㇆
久	丿 入
乆	𠃊 人
乇	丿 七
幺	𠃊 厶
乍	丿 丅 二
乎	丿 丷 一 亅
乏	丿 之
乑	丿 丨 丿 丿 丶 乀
乒	丘 丿
乓	丘 丶
乕	厂 二 巾
乖	千 北
乘	禾 北
乘	禾 丬 匕
乜	卩 乚
九	丿 乙
乞	丿 一 乙
也	卩 丨 乚
乢	山 乚
乣	幺 乚
乨	台 乚
乩	占 乙
乪	乙 田
乫	加 乙
乭	石 乙
乳	孚 乙
乴	折 乙
乵	辛 乚
乶	甫 乙
乷	沙 乙
乸	也 母
乹	十 日 十 乚
干	一 十
乿	爫 糸 乚
亀	龟 曰
亁	十 日 干 乞
乱	舌 乚
亃	粦 乚
亄	壹 乚
了	乛 亅
予	龴 乛 亅
亊	一 丷 亅 肀
事	一 口 肀
二	一 一
亍	一 丁
于	二 亅
亐	一 丂
云	二 厶
互	一 彑
亓	一 丌
五	二 丨 ㇆
井	二 丿 丨
亖	二 二
亗	山 二
亘	二 日
些	此 二
亚	一 业
亝	厽 二
亚	一 业
亟	丂 口 又 一
亠	丶 一
亡	丶 匸
亢	亠 几
亣	丶 丌
交	亠 父
亦	亠 丿 亅 八
亨	亠 口 了
享	亠 口 子
京	亠 口 小
亭	亠 口 冖 丁
亮	亠 口 冖 儿
亯	亠 口 日
亰	亠 日 小
亱	亠 但
亳	亠 口 冂 乇
